year,month,customer_state,total_price,last_month_price,growth
2017,12,MS,5498.149999999998,7314.169999999996,-24.83
2018,01,MS,11099.659999999989,5498.149999999998,101.88
2018,02,MS,8755.179999999993,11099.659999999989,-21.12
2018,03,MS,7418.879999999994,8755.179999999993,-15.26
2018,04,MS,6325.149999999997,7418.879999999994,-14.74
2018,05,MS,9981.049999999997,6325.149999999997,57.8
2018,06,MS,8887.249999999995,9981.049999999997,-10.96
2018,07,MS,7315.319999999996,8887.249999999995,-17.69
2018,08,MS,5551.429999999998,7315.319999999996,-24.11
2016,10,MT,327.79,,
2017,01,MT,1976.6400000000003,327.79,503.02
2017,02,MT,2988.4000000000005,1976.6400000000003,51.19
2017,03,MT,2157.09,2988.4000000000005,-27.82
2017,04,MT,14730.799999999988,2157.09,582.9
2017,05,MT,6935.899999999998,14730.799999999988,-52.92
2017,06,MT,4326.529999999999,6935.899999999998,-37.62
2017,07,MT,10533.479999999994,4326.529999999999,143.46
2017,08,MT,8490.439999999997,10533.479999999994,-19.4
2017,09,MT,6940.909999999999,8490.439999999997,-18.25
2017,10,MT,10818.019999999993,6940.909999999999,55.86
2017,11,MT,11446.699999999993,10818.019999999993,5.81
2017,12,MT,9626.199999999995,11446.699999999993,-15.9
2018,01,MT,12449.599999999988,9626.199999999995,29.33
2018,02,MT,8261.489999999993,12449.599999999988,-33.64
2018,03,MT,8807.629999999994,8261.489999999993,6.61
2018,04,MT,11754.289999999994,8807.629999999994,33.46
2018,05,MT,12531.669999999986,11754.289999999994,6.61
2018,06,MT,10515.189999999995,12531.669999999986,-16.09
2018,07,MT,10712.739999999996,10515.189999999995,1.88
2018,08,MT,4778.229999999999,10712.739999999996,-55.4
2016,10,PA,1087.6,,
2017,01,PA,2246.1700000000005,1087.6,106.53
2017,02,PA,9901.49,2246.1700000000005,340.82
2017,03,PA,7707.669999999998,9901.49,-22.16
2017,04,PA,5058.839999999999,7707.669999999998,-34.37
2017,05,PA,6573.5799999999945,5058.839999999999,29.94
2017,06,PA,5762.169999999997,6573.5799999999945,-12.34
2017,07,PA,5717.909999999996,5762.169999999997,-0.77
2017,08,PA,15262.999999999993,5717.909999999996,166.93
2017,09,PA,6425.349999999998,15262.999999999993,-57.9
2017,10,PA,6891.069999999993,6425.349999999998,7.25
2017,11,PA,11884.32999999999,6891.069999999993,72.46
2017,12,PA,11119.229999999994,11884.32999999999,-6.44
2018,01,PA,14229.459999999992,11119.229999999994,27.97
2018,02,PA,9368.669999999993,14229.459999999992,-34.16
2018,03,PA,13257.779999999993,9368.669999999993,41.51
2018,04,PA,11907.449999999988,13257.779999999993,-10.19
2018,05,PA,7660.629999999997,11907.449999999988,-35.67
2018,06,PA,9691.209999999995,7660.629999999997,26.51
2018,07,PA,14235.539999999995,9691.209999999995,46.89
2018,08,PA,8928.779999999997,14235.539999999995,-37.28
2016,10,PB,49.9,,
2017,01,PB,409.79999999999995,49.9,721.24
2017,02,PB,3984.120000000001,409.79999999999995,872.21
2017,03,PB,4477.889999999999,3984.120000000001,12.39
2017,04,PB,3056.3700000000003,4477.889999999999,-31.75
2017,05,PB,2919.11,3056.3700000000003,-4.49
2017,06,PB,6362.919999999998,2919.11,117.97
2017,07,PB,4635.04,6362.919999999998,-27.16
2017,08,PB,2324.7700000000004,4635.04,-49.84
2017,09,PB,5619.079999999999,2324.7700000000004,141.7
2017,10,PB,11624.309999999996,5619.079999999999,106.87
2017,11,PB,4567.390000000001,11624.309999999996,-60.71
2017,12,PB,5725.5499999999965,4567.390000000001,25.36
2018,01,PB,7375.189999999997,5725.5499999999965,28.81
2018,02,PB,5005.499999999997,7375.189999999997,-32.13
2018,03,PB,6279.9999999999945,5005.499999999997,25.46
2018,04,PB,5052.74,6279.9999999999945,-19.54
2018,05,PB,4912.33,5052.74,-2.78
2018,06,PB,14613.819999999998,4912.33,197.49
2018,07,PB,15807.679999999997,14613.819999999998,8.17
2018,08,PB,9012.729999999998,15807.679999999997,-42.99
2016,10,PE,1369.1000000000001,,
2017,01,PE,1884.4800000000002,1369.1000000000001,37.64
2017,02,PE,2797.23,1884.4800000000002,48.44
2017,03,PE,7211.1299999999965,2797.23,157.8
2017,04,PE,4286.309999999999,7211.1299999999965,-40.56
2017,05,PE,11070.549999999994,4286.309999999999,158.28
2017,06,PE,6316.069999999995,11070.549999999994,-42.95
2017,07,PE,10296.99999999999,6316.069999999995,63.03
2017,08,PE,13310.749999999985,10296.99999999999,29.27
2017,09,PE,15784.71999999999,13310.749999999985,18.59
2017,10,PE,20172.980000000014,15784.71999999999,27.8
2017,11,PE,20203.609999999997,20172.980000000014,0.15
2017,12,PE,16369.489999999982,20203.609999999997,-18.98
2018,01,PE,15075.929999999988,16369.489999999982,-7.9
